filename,width,height,class,xmin,ymin,xmax,ymax
331.jpg,300,300,small,170,188,205,217
302.jpg,300,300,medium,118,160,217,261
155.jpg,300,300,medium,135,180,281,300
67.jpg,300,300,medium,26,160,161,300
114.jpg,300,300,big,115,163,243,253
229.jpg,300,300,medium,139,164,194,218
349.jpg,300,300,small,160,220,257,294
7.jpg,300,300,medium,184,164,240,208
270.jpg,300,300,small,113,193,166,269
193.jpg,300,300,big,113,164,219,243
102.jpg,300,300,medium,83,177,215,293
124.jpg,300,300,big,77,167,287,279
205.jpg,300,300,medium,120,169,184,223
205.jpg,300,300,small,4,212,64,249
273.jpg,300,300,small,155,200,212,242
308.jpg,300,300,big,57,165,176,258
247.jpg,300,300,big,100,160,222,223
282.jpg,300,300,big,92,164,203,216
203.jpg,300,300,medium,103,165,181,250
238.jpg,300,300,small,83,180,115,220
163.jpg,300,300,big,111,164,178,216
105.jpg,300,300,medium,117,164,184,235
317.jpg,300,300,small,97,182,141,234
88.jpg,300,300,small,195,213,230,239
130.jpg,300,300,medium,76,171,169,242
195.jpg,300,300,big,80,227,198,256
251.jpg,300,300,big,78,160,205,224
126.jpg,300,300,small,160,190,205,220
236.jpg,300,300,big,19,171,212,258
293.jpg,300,300,small,212,173,243,206
5.jpg,300,300,small,166,215,257,285
239.jpg,300,300,big,127,165,271,261
55.jpg,300,300,big,57,164,205,231
75.jpg,300,300,big,49,163,250,275
333.jpg,300,300,medium,145,168,204,212
266.jpg,300,300,medium,62,168,120,220
86.jpg,300,300,small,146,220,243,300
311.jpg,300,300,small,166,194,215,230
213.jpg,300,300,small,57,173,91,215
200.jpg,300,300,big,111,158,214,230
171.jpg,300,300,small,208,240,300,300
48.jpg,300,300,big,85,168,155,212
133.jpg,300,300,big,110,164,173,210
241.jpg,300,300,small,124,188,170,248
159.jpg,300,300,big,82,209,214,255
17.jpg,300,300,big,45,167,186,277
230.jpg,300,300,medium,1,171,56,249
111.jpg,300,300,big,105,160,247,225
87.jpg,300,300,small,152,209,225,266
134.jpg,300,300,small,107,210,168,251
278.jpg,300,300,medium,78,170,133,251
188.jpg,300,300,big,97,160,222,221
339.jpg,300,300,medium,32,176,121,246
267.jpg,300,300,small,147,215,224,271
94.jpg,300,300,medium,118,180,233,300
76.jpg,300,300,small,179,181,215,227
65.jpg,300,300,small,212,174,244,207
307.jpg,300,300,big,57,162,198,237
237.jpg,300,300,small,196,204,267,255
109.jpg,300,300,medium,38,173,108,227
84.jpg,300,300,big,110,168,173,213
78.jpg,300,300,small,125,188,159,215
118.jpg,300,300,big,1,159,190,250
322.jpg,300,300,medium,143,171,243,259
180.jpg,300,300,big,76,163,198,222
242.jpg,300,300,big,43,166,300,300
123.jpg,300,300,medium,32,174,123,245
269.jpg,300,300,small,93,195,136,227
80.jpg,300,300,small,240,197,276,221
352.jpg,300,300,big,103,162,196,207
141.jpg,300,300,small,98,185,129,226
13.jpg,300,300,big,86,151,299,300
324.jpg,300,300,big,99,165,186,221
58.jpg,300,300,medium,96,172,174,240
261.jpg,300,300,medium,111,171,187,232
106.jpg,300,300,medium,1,132,210,299
169.jpg,300,300,small,117,180,139,208
81.jpg,300,300,small,180,178,217,230
199.jpg,300,300,small,145,192,198,272
358.jpg,300,300,medium,12,176,96,240
304.jpg,300,300,medium,98,105,236,199
291.jpg,300,300,medium,82,218,174,271
291.jpg,300,300,small,241,243,300,280
309.jpg,300,300,big,41,155,299,300
246.jpg,300,300,medium,1,142,81,243
15.jpg,300,300,big,94,166,169,215
110.jpg,300,300,small,99,216,155,281
338.jpg,300,300,big,85,168,155,214
164.jpg,300,300,small,210,175,243,217
147.jpg,300,300,small,126,188,166,244
290.jpg,300,300,medium,81,175,207,285
26.jpg,300,300,medium,130,166,188,228
219.jpg,300,300,small,210,175,244,217
190.jpg,300,300,small,103,180,127,213
233.jpg,300,300,big,70,165,179,254
112.jpg,300,300,medium,27,175,128,246
201.jpg,300,300,big,103,163,240,273
6.jpg,300,300,big,84,200,171,247
8.jpg,300,300,medium,113,160,243,294
20.jpg,300,300,small,218,187,281,223
117.jpg,300,300,big,82,165,177,233
312.jpg,300,300,big,85,154,300,284
57.jpg,300,300,big,110,163,292,291
100.jpg,300,300,big,46,162,208,247
271.jpg,300,300,small,134,231,233,300
215.jpg,300,300,small,96,196,136,226
227.jpg,300,300,big,118,160,233,236
47.jpg,300,300,medium,31,176,112,245
318.jpg,300,300,small,208,172,245,216
97.jpg,300,300,medium,143,167,245,258
144.jpg,300,300,medium,35,168,106,291
207.jpg,300,300,big,44,157,282,300
98.jpg,300,300,small,148,221,248,300
104.jpg,300,300,small,178,185,215,211
120.jpg,300,300,medium,14,175,94,240
73.jpg,300,300,medium,119,164,202,244
192.jpg,300,300,small,147,185,182,212
354.jpg,300,300,medium,88,173,180,257
301.jpg,300,300,big,100,164,170,217
45.jpg,300,300,small,98,190,128,214
61.jpg,300,300,small,198,206,268,253
50.jpg,300,300,medium,94,173,179,253
50.jpg,300,300,small,240,195,300,247
51.jpg,300,300,big,93,158,279,300
197.jpg,300,300,big,47,165,219,254
254.jpg,300,300,medium,96,170,174,240
149.jpg,300,300,medium,45,174,148,258
191.jpg,300,300,medium,157,160,202,207
74.jpg,300,300,big,105,167,168,212
272.jpg,300,300,small,157,199,212,241
167.jpg,300,300,small,77,193,113,217
38.jpg,300,300,big,99,161,211,210
323.jpg,300,300,medium,15,177,148,300
93.jpg,300,300,big,120,164,233,237
62.jpg,300,300,small,231,231,300,283
56.jpg,300,300,big,108,160,269,234
4.jpg,300,300,small,142,233,252,300
177.jpg,300,300,medium,123,174,253,285
39.jpg,300,300,big,103,156,298,250
294.jpg,300,300,small,110,185,145,234
212.jpg,300,300,small,154,196,211,238
30.jpg,300,300,small,173,195,224,232
264.jpg,300,300,small,99,185,141,235
345.jpg,300,300,medium,138,170,277,293
9.jpg,300,300,big,92,162,210,221
224.jpg,300,300,big,103,163,210,213
89.jpg,300,300,medium,72,179,250,300
25.jpg,300,300,big,90,160,254,241
79.jpg,300,300,big,102,165,186,229
334.jpg,300,300,medium,159,173,250,258
170.jpg,300,300,big,88,164,262,243
202.jpg,300,300,medium,13,181,163,300
37.jpg,300,300,small,188,184,222,206
221.jpg,300,300,small,66,231,166,300
262.jpg,300,300,small,117,178,141,209
314.jpg,300,300,medium,170,165,244,227
357.jpg,300,300,medium,179,179,299,300
64.jpg,300,300,medium,93,217,167,300
204.jpg,300,300,small,22,203,71,238
204.jpg,300,300,medium,121,169,173,216
287.jpg,300,300,big,77,164,283,264
10.jpg,300,300,big,65,117,227,175
42.jpg,300,300,medium,46,175,124,248
209.jpg,300,300,small,189,210,240,259
150.jpg,300,300,medium,192,181,250,273
165.jpg,300,300,medium,54,174,119,225
148.jpg,300,300,medium,141,166,206,217
77.jpg,300,300,small,143,211,197,252
299.jpg,300,300,medium,102,183,157,245
299.jpg,300,300,small,1,236,43,290
184.jpg,300,300,big,97,166,244,230
183.jpg,300,300,big,42,168,300,298
286.jpg,300,300,big,110,168,168,209
211.jpg,300,300,big,88,156,281,294
310.jpg,300,300,medium,152,171,227,297
63.jpg,300,300,big,103,161,224,216
119.jpg,300,300,medium,53,177,123,239
214.jpg,300,300,small,83,213,143,255
1.jpg,300,300,small,207,240,300,300
22.jpg,300,300,big,114,164,199,230
49.jpg,300,300,medium,191,165,243,206
90.jpg,300,300,big,70,182,147,222
121.jpg,300,300,medium,50,173,150,256
138.jpg,300,300,small,159,203,217,243
28.jpg,300,300,big,155,177,239,300
337.jpg,300,300,big,66,159,210,232
321.jpg,300,300,medium,142,165,229,241
23.jpg,300,300,medium,143,166,212,217
19.jpg,300,300,big,95,165,186,207
347.jpg,300,300,big,46,82,299,173
303.jpg,300,300,small,148,174,212,238
160.jpg,300,300,big,85,157,189,231
336.jpg,300,300,big,110,166,212,212
157.jpg,300,300,big,106,164,168,213
172.jpg,300,300,medium,108,176,269,300
41.jpg,300,300,medium,147,169,217,230
41.jpg,300,300,small,272,197,300,240
66.jpg,300,300,small,180,181,216,229
326.jpg,300,300,medium,92,174,175,244
313.jpg,300,300,big,93,217,185,262
235.jpg,300,300,big,108,163,180,213
161.jpg,300,300,medium,116,170,209,257
343.jpg,300,300,small,162,188,204,220
315.jpg,300,300,small,132,195,164,248
263.jpg,300,300,medium,117,165,187,238
194.jpg,300,300,small,107,208,166,252
186.jpg,300,300,small,159,203,215,242
281.jpg,300,300,small,99,183,139,233
33.jpg,300,300,medium,128,165,193,229
137.jpg,300,300,medium,178,164,241,214
68.jpg,300,300,medium,53,177,179,287
152.jpg,300,300,big,85,168,163,233
210.jpg,300,300,big,58,167,233,288
11.jpg,300,300,medium,132,171,197,220
131.jpg,300,300,big,109,166,218,248
256.jpg,300,300,big,106,161,292,297
340.jpg,300,300,big,77,219,177,264
91.jpg,300,300,medium,115,172,217,262
217.jpg,300,300,medium,61,175,166,266
348.jpg,300,300,small,62,241,106,259
140.jpg,300,300,small,140,188,177,245
253.jpg,300,300,big,95,164,187,206
351.jpg,300,300,medium,51,166,173,300
280.jpg,300,300,small,125,189,170,248
306.jpg,300,300,medium,85,163,151,223
107.jpg,300,300,big,97,164,195,210
185.jpg,300,300,big,97,160,235,230
14.jpg,300,300,big,116,164,239,256
252.jpg,300,300,small,171,192,214,220
250.jpg,300,300,big,104,166,228,221
332.jpg,300,300,small,124,188,161,216
85.jpg,300,300,small,195,203,268,256
220.jpg,300,300,big,104,165,231,221
116.jpg,300,300,big,90,118,283,194
196.jpg,300,300,medium,231,165,271,223
260.jpg,300,300,medium,34,167,88,220
53.jpg,300,300,medium,111,150,264,300
173.jpg,300,300,medium,133,171,223,243
335.jpg,300,300,medium,106,171,153,213
46.jpg,300,300,medium,76,170,167,243
60.jpg,300,300,medium,140,167,212,222
295.jpg,300,300,medium,151,167,258,259
187.jpg,300,300,small,162,184,201,234
228.jpg,300,300,big,62,218,242,264
268.jpg,300,300,big,1,155,217,285
27.jpg,300,300,medium,35,176,115,241
12.jpg,300,300,medium,113,172,185,232
176.jpg,300,300,medium,68,180,253,300
283.jpg,300,300,medium,64,184,138,278
283.jpg,300,300,small,201,225,296,300
136.jpg,300,300,big,50,160,251,275
154.jpg,300,300,big,37,204,266,288
249.jpg,300,300,small,85,202,135,233
298.jpg,300,300,big,76,93,266,153
296.jpg,300,300,small,122,188,165,248
44.jpg,300,300,small,183,185,216,205
327.jpg,300,300,medium,126,170,236,263
178.jpg,300,300,medium,62,167,170,290
285.jpg,300,300,medium,124,168,208,242
285.jpg,300,300,small,1,227,40,283
16.jpg,300,300,small,189,184,217,202
71.jpg,300,300,small,145,185,177,206
